,15,28,41,54,-
,14,27,40,53,-
,23,36,49,62,-
,24,37,50,63,-
,25,38,51,64,-
,26,39,52,65,-
0x46,"16,17,18,19,20,21","29,30,31,32,33,34","42,43,44,45,46,47","55,56,57,58,59,60",-
,22,35,48,61,-
0x0B,66,110,66,110,-
,67,111,67,111,-
0x0C,68,112,68,112,-
,69,113,69,113,-
0x0D,70,114,70,114,-
,71,115,71,115,-
0x0E,72,116,72,116,-
,73,117,73,117,-
0x09,80,124,80,124,-
,86,130,86,130,-
,87,131,87,131,-
,75,119,75,119,-
,94,138,94,138,-
,95,139,95,139,-
,96,140,96,140,-
,97,141,97,141,-
,98,142,98,142,-
,99,143,99,143,-
,100,144,100,144,-
,101,145,101,145,-
,102,146,102,146,-
,103,147,103,147,-
,104,148,104,148,-
,105,149,105,149,-
,106,150,106,150,-
,107,151,107,151,-
,108,152,108,152,-
,109,153,109,153,-
0x17,76,120,76,120,-
,85,129,85,129,-
0x01,74,118,74,118,-
,84,128,84,128,-
,89,133,89,133,-
0x18,77,121,77,121,-
0x0A,81,125,81,125,-
0x0F,90,134,90,134,-
0x10,91,135,91,135,-
0x11,92,136,92,136,-
0x12,93,137,93,137,-
,88,132,88,132,-
,78,122,78,122,-
0x08,79,123,79,123,-
0x05,83,127,83,127,-
0x06,82,126,82,126,-
,-,-,-,-,155
,-,-,-,-,156
,-,-,-,-,157
,-,-,-,-,158
,-,-,-,-,154
,-,-,-,-,160
,-,-,-,-,161
,-,-,-,-,162
,-,-,-,-,163
,-,-,-,-,159
,-,-,-,-,11
,-,-,-,-,2
,-,-,-,-,3
,-,-,-,-,6
,-,-,-,-,12
,-,-,-,-,1
,-,-,-,-,10
,-,-,-,-,8
,-,-,-,-,9
,-,-,-,-,4
,-,-,-,-,7
,-,-,-,-,13
,-,-,-,-,5
