16,POT
17,POT
18,POT
19,POT
21,POT
22,POT
23,POT
26,JOG_TOUCH
27,JOG_TOUCH
28,POT
29,POT
30,POT
31,POT
32,POT
33,POT
34,POT
35,POT
36,POT
37,POT
38,POT
39,POT
40,POT
41,POT
42,POT
43,POT
44,POT
45,POT
46,POT
47,POT
48,POT
49,POT
50,POT
51,POT
52,JOG_ROT
53,JOG_ROT
54,ROT
55,ROT
56,ROT
57,ROT
58,ROT
59,ROT
60,ROT
61,ROT
62,ROT
256,BTN
258,BTN
259,BTN
260,BTN
261,BTN
262,BTN
263,BTN
265,BTN
266,BTN
267,BTN
268,BTN
269,BTN
270,BTN
271,BTN
272,BTN
273,BTN
274,BTN
275,BTN
280,BTN
281,BTN
282,BTN
283,BTN
284,BTN
288,BTN
289,BTN
290,BTN
291,BTN
292,BTN
296,BTN
297,BTN
298,BTN
299,BTN
305,BTN
306,BTN
307,BTN
308,BTN
309,BTN
310,BTN
311,BTN
312,BTN
314,BTN
315,BTN
316,BTN
317,BTN
318,BTN
319,BTN
321,BTN
322,BTN
323,BTN
324,BTN
325,BTN
328,BTN
329,BTN
330,BTN
331,BTN
332,BTN
333,BTN
334,BTN
335,BTN
345,BTN
346,BTN
347,BTN
348,BTN
349,BTN
