0x01,74,118,74,118,-
0x05,83,127,83,127,9
0x06,82,126,82,126,13
0x07,78,122,78,122,8
0x08,79,123,79,123,12
0x09,80,124,80,124,11
0x0A,81,125,81,125,-
0x0B,66,110,66,110,-
0x0C,68,112,68,112,-
0x0D,70,114,70,114,-
0x0E,72,116,72,116,-
0x0F,90,134,90,134,-
0x10,91,135,91,135,-
0x11,92,136,92,136,-
0x12,93,137,93,137,-
0x17,76,120,76,120,-
0x18,77,121,77,121,154
0x19,-,-,-,-,155
0x1A,-,-,-,-,156
0x1B,-,-,-,-,157
0x1C,-,-,-,-,158
0x22,-,-,-,-,159
0x23,-,-,-,-,160
0x24,-,-,-,-,161
0x25,-,-,-,-,162
0x26,-,-,-,-,163
0x3E,25,38,51,64,-
0x3F,26,39,52,65,-
0x44,24,37,50,63,-
0x46,"16,17,18,19,20,21","29,30,31,32,33,34","42,43,44,45,46,47","55,56,57,58,59,60",-
